"","THETA_of_Seurat","THETA_of_cc_gene_test","THETA_of_GO0007049","THETA_of_cyclebase3.0"
"hela1_SC179",-0.362370350935975,-0.357070384905529,0.549459409370663,0.187835493276187
"hela1_SC180",-0.144502266156416,-0.11918961578616,-2.09813516596133,-0.443219938177685
"hela1_SC181",-3.0527224119333,-2.96171455699572,0.701409144952418,3.00087378365177
"hela1_SC182",-0.561119106250911,-0.4388548760603,-2.62826521117145,-0.865143799085201
"hela1_SC183",1.90482301399974,1.97516335203529,0.824798906727511,1.73906739475041
"hela1_SC184",3.08418648113335,-3.1008793417113,2.84503620312787,-2.65672342090498
"hela1_SC185",2.65548824792135,2.64687324708403,0.491644079119836,1.97247324814622
"hela1_SC186",-2.95168581665363,-2.97688152308693,-2.99992713141876,-2.92173295687244
"hela1_SC187",-2.22609421411314,-2.23221173303931,2.44714007984907,-1.70278238315247
"hela1_SC189",0.21897067772188,0.317541904847243,-0.0358389272307243,0.393766410148766
"hela1_SC190",1.06907640820137,1.40551510769858,2.86282502004217,1.71743595953185
"hela1_SC191",0.592276316733366,0.624682039281745,-0.0382689547163655,0.957631351448638
"hela1_SC192",2.6760526258032,2.67283397892919,-2.66991509896885,2.2779793986396
"hela1_SC194",-2.85090487139576,-2.81771752963086,2.77663468690127,-2.49555672557578
"hela1_SC196",0.76033226394504,0.486129010102727,-1.17220714305024,2.44311253251667
"hela1_SC197",-3.06679068194697,-3.06781219480989,1.57527800074112,2.48113485660869
"hela1_SC198",-3.06299615388317,-3.03642591379969,2.56043164539615,-2.7718486802951
"hela1_SC199",-0.095083188867141,-0.116232529780099,-0.532683862802686,0.18588290535509
"hela1_SC200",2.50616757400235,2.87636256962929,1.81381432641584,-2.8488120176799
"hela1_SC201",2.51442819293855,2.62417213580932,2.04589091428397,2.52032988329655
"hela1_SC202",-0.348063481492535,-0.425630528567417,-2.80983176957259,-0.755368284882019
"hela1_SC203",1.7745400868785,1.72831314328234,1.16803327218121,1.58351383463415
"hela1_SC204",-0.530605792779904,-0.464615613014234,1.96064679624746,-0.953662086162047
"hela1_SC205",-1.38851277711714,-1.21349421928347,0.270638838228673,-0.449215777612349
"hela1_SC206",-2.55712195627177,-2.59521724071417,2.84725489302788,-2.26233524694106
"hela1_SC207",-3.05234302184877,-3.01558839104129,1.70528057325491,-2.72958733745123
"hela1_SC209",-3.06735968031939,-2.82873057117126,0.584289457638574,3.08187763263372
"hela1_SC210",2.91459396049327,2.8585120244832,-3.04718085211247,2.76640057366748
"hela1_SC211",-3.01578840451447,-2.82500335483418,1.27428775902823,2.96444351751791
"hela1_SC212",-2.67803476345141,-2.61006574125325,2.84063152045668,-2.16457235399024
"hela1_SC213",2.18483743661422,2.2548983832138,0.00905746423169553,1.96684061032817
"hela1_SC214",1.24589389353059,0.929186758259421,-2.59395146586821,0.919581069282406
"hela1_SC215",2.49637013485423,2.44342509488706,0.806525304616464,2.50892516955495
"hela1_SC216",-0.311174214605765,-0.206991096409469,-2.76701493755055,-0.262838672571777
"hela1_SC217",-1.59625391178979,-1.43408410772844,0.864489533871897,-0.97563886217508
"hela1_SC218",0.297573877333723,0.425038700172116,-1.00874628455266,-0.0333087688156243
"hela1_SC219",-0.671125347839402,-0.550776343886114,1.07422424915037,-0.503210467407602
"hela1_SC220",-0.604643509184471,-0.445041492559006,2.83867941831427,-0.476673581974136
"hela1_SC221",-2.84793479443729,-2.96289700084441,2.53340176136217,-3.11830370718575
"hela1_SC222",-0.552381079656123,-0.54891045470849,2.91230798997021,-0.12568941582349
"hela1_SC223",-0.607001701708413,-0.543610914465513,1.32291067818507,-0.19698149603892
